Iteration,BestCost
0,12335.400459
10,8281.207958
20,8261.913343
30,8243.105673
40,8243.105673
50,8243.105673
60,8243.105673
70,8243.105673
80,8243.105673
90,8243.105673
100,8243.105673
110,8243.105673
120,8243.105673
130,8243.105673
140,8243.105673
150,8241.972249
160,8241.972249
170,8241.972249
180,8241.972249
190,8241.972249
200,8241.972249
210,8241.972249
220,8237.449010
230,8237.449010
240,8237.449010
250,8237.449010
260,8237.449010
270,8237.449010
280,8237.449010
290,8237.449010
300,8237.449010
310,8237.449010
320,8237.449010
330,8237.449010
340,8237.449010
350,8237.449010
360,8237.449010
370,8237.449010
380,8237.449010
390,8237.449010
400,8237.449010
410,8237.449010
420,8237.449010
430,8237.449010
440,8237.449010
450,8237.449010
460,8237.449010
470,8237.449010
480,8237.449010
490,8237.449010
500,8237.449010
510,8237.449010
520,8237.449010
530,8237.449010
540,8237.449010
550,8237.449010
560,8237.449010
570,8237.449010
580,8237.449010
590,8237.449010
600,8237.449010
610,8237.449010
620,8237.449010
630,8237.449010
640,8237.449010
650,8237.449010
660,8237.449010
670,8237.449010
680,8237.449010
690,8237.449010
700,8237.449010
710,8237.449010
720,8237.449010
730,8237.449010
740,8237.449010
750,8237.449010
760,8237.449010
770,8237.449010
780,8237.449010
790,8237.449010
800,8237.449010
810,8237.449010
820,8237.449010
830,8237.449010
840,8237.449010
850,8237.449010
860,8237.449010
870,8237.449010
880,8237.449010
890,8237.449010
900,8237.449010
910,8237.449010
920,8237.449010
930,8237.449010
940,8237.449010
950,8237.449010
960,8237.449010
970,8237.449010
980,8237.449010
990,8237.449010
1000,8237.449010
1010,8237.449010
1020,8237.449010
1030,8237.449010
1040,8237.449010
1050,8237.449010
1060,8237.449010
1070,8237.449010
1080,8237.449010
1090,8237.449010
1100,8237.449010
1110,8237.449010
1120,8237.449010
1130,8237.449010
1140,8237.449010
1150,8237.449010
1160,8237.449010
1170,8237.449010
1180,8237.449010
1190,8237.449010
1200,8237.449010
1210,8237.449010
1220,8237.449010
1230,8237.449010
1240,8237.449010
1250,8237.449010
1260,8236.684578
1270,8236.684578
1280,8236.684578
1290,8236.684578
1300,8236.684578
1310,8236.684578
1320,8236.684578
1330,8236.684578
1340,8236.684578
1350,8236.684578
1360,8236.684578
1370,8236.684578
1380,8236.684578
1390,8236.684578
1400,8236.684578
1410,8236.684578
1420,8236.684578
1430,8236.684578
1440,8236.684578
1450,8236.684578
1460,8236.684578
1470,8236.684578
1480,8236.684578
1490,8236.684578
1500,8236.684578
1510,8236.684578
1520,8236.684578
1530,8236.684578
1540,8236.684578
1550,8236.684578
1560,8236.684578
1570,8236.684578
1580,8236.684578
1590,8236.684578
1600,8236.684578
1610,8236.684578
1620,8236.684578
1630,8236.684578
1640,8236.684578
1650,8236.684578
1660,8236.684578
1670,8236.684578
1680,8236.684578
1690,8236.684578
1700,8236.684578
1710,8236.684578
1720,8236.684578
1730,8236.684578
1740,8236.684578
1750,8236.684578
1760,8236.684578
1770,8236.684578
1780,8236.684578
1790,8236.684578
1800,8236.684578
1810,8236.684578
1820,8236.684578
1830,8236.684578
1840,8236.684578
1850,8236.684578
1860,8236.684578
1870,8236.684578
1880,8236.684578
1890,8236.684578
1900,8236.684578
1910,8236.684578
1920,8236.684578
1930,8236.684578
1940,8236.684578
1950,8236.684578
1960,8236.684578
1970,8236.684578
1980,8236.684578
1990,8236.684578
2000,8236.684578
2010,8236.684578
2020,8236.684578
2030,8236.684578
2040,8236.684578
2050,8236.684578
2060,8236.684578
2070,8236.684578
2080,8236.684578
2090,8236.684578
2100,8236.684578
2110,8236.684578
2120,8236.684578
2130,8236.684578
2140,8236.684578
2150,8236.684578
2160,8236.684578
2170,8236.684578
2180,8236.684578
2190,8236.684578
2200,8236.684578
2210,8236.684578
2220,8236.684578
2230,8236.684578
2240,8236.684578
2250,8236.684578
2260,8236.684578
2270,8236.684578
2280,8236.684578
2290,8236.684578
2300,8236.684578
2310,8236.684578
2320,8236.684578
2330,8236.684578
