Iteration,BestCost
0,8564.354909
10,8242.077192
20,8242.077192
30,8242.077192
40,8242.077192
50,8242.077192
60,8242.077192
70,8242.077192
80,8242.077192
90,8242.077192
100,8242.077192
110,8242.077192
120,8242.077192
130,8242.077192
140,8242.077192
150,8242.077192
160,8242.077192
170,8242.077192
180,8242.077192
190,8242.077192
200,8242.077192
210,8242.077192
220,8242.077192
230,8242.077192
240,8242.077192
250,8241.694518
260,8241.565589
270,8241.565589
280,8241.565589
290,8241.565589
300,8241.565589
310,8241.565589
320,8241.565589
330,8241.565589
340,8241.565589
350,8241.565589
360,8241.565589
370,8241.565589
380,8241.565589
390,8241.565589
400,8241.565589
410,8241.441967
420,8236.629082
430,8234.451921
440,8234.451921
450,8234.451921
460,8234.451921
470,8234.332996
480,8234.332996
490,8234.303881
